Locator,Year,Month,Parameter,Value,Units,AveQ (cfs)
0311,1977,Jan,Conductivity,101,umhos/cm,
0311,1977,Jan,Dissolved Oxygen,12.8,mg/L,
0311,1977,Jan,Fecal Coliform,20,CFU/100ml,
0311,1977,Jan,Nitrite + Nitrate Nitrogen,388.46855000000005,ug/L,
0311,1977,Jan,Temperature,2.8,deg C,
0311,1977,Jan,Total Phosphorus,53.658381099983544,ug/L,
0311,1977,Jan,Total Suspended Solids,6.2,mg/L,
0311,1977,Jan,Turbidity,2.85,NTU,
0311,1977,Jan,"pH, Field",7.1,pH,
0311,1977,Feb,Ammonia Nitrogen,49,ug/L,
0311,1977,Feb,Conductivity,96.5,umhos/cm,
0311,1977,Feb,Dissolved Oxygen,11.3,mg/L,
0311,1977,Feb,Fecal Coliform,40,CFU/100ml,
0311,1977,Feb,Nitrite + Nitrate Nitrogen,365.56309999999996,ug/L,
0311,1977,Feb,Temperature,6.15,deg C,
0311,1977,Feb,Total Phosphorus,34.42533881690298,ug/L,
0311,1977,Feb,Total Suspended Solids,5.55,mg/L,
0311,1977,Feb,Turbidity,2.85,NTU,
0311,1977,Feb,"pH, Field",6.800000000000001,pH,
0311,1977,Mar,Ammonia Nitrogen,42.5,ug/L,
0311,1977,Mar,Conductivity,118,umhos/cm,
0311,1977,Mar,Dissolved Oxygen,10.95,mg/L,
0311,1977,Mar,Fecal Coliform,566.5,CFU/100ml,
0311,1977,Mar,Nitrite + Nitrate Nitrogen,482.03975,ug/L,
0311,1977,Mar,Temperature,7.5,deg C,
0311,1977,Mar,Total Phosphorus,53.658381099983544,ug/L,
0311,1977,Mar,Total Suspended Solids,10.55,mg/L,
0311,1977,Mar,Turbidity,11,NTU,
0311,1977,Mar,"pH, Field",6.449999999999999,pH,
0311,1977,Apr,Ammonia Nitrogen,15.5,ug/L,
0311,1977,Apr,Conductivity,71,umhos/cm,
0311,1977,Apr,Dissolved Oxygen,11.05,mg/L,
0311,1977,Apr,Fecal Coliform,20,CFU/100ml,
0311,1977,Apr,Nitrite + Nitrate Nitrogen,229.59244999999999,ug/L,
0311,1977,Apr,Temperature,8.6,deg C,
0311,1977,Apr,Total Phosphorus,25.804215490580248,ug/L,
0311,1977,Apr,Total Suspended Solids,6,mg/L,
0311,1977,Apr,Turbidity,1.9000000000000001,NTU,
0311,1977,Apr,"pH, Field",7.25,pH,
0311,1977,May,Ammonia Nitrogen,44.5,ug/L,
0311,1977,May,Conductivity,117,umhos/cm,
0311,1977,May,Dissolved Oxygen,9.05,mg/L,
0311,1977,May,Fecal Coliform,280,CFU/100ml,
0311,1977,May,Nitrite + Nitrate Nitrogen,290.02385000000004,ug/L,
0311,1977,May,Temperature,11.1,deg C,
0311,1977,May,Total Phosphorus,49.04389480992795,ug/L,
0311,1977,May,Total Suspended Solids,8.45,mg/L,
0311,1977,May,Turbidity,3.45,NTU,
0311,1977,May,"pH, Field",7.15,pH,
0311,1977,Jun,Ammonia Nitrogen,19,ug/L,
0311,1977,Jun,Conductivity,99,umhos/cm,
0311,1977,Jun,Dissolved Oxygen,8.899999999999999,mg/L,
0311,1977,Jun,Fecal Coliform,26.5,CFU/100ml,
