"","Year","Locator","mg/L"
"923",2003,"A685",11.4
"924",2003,"A690",11.3
"925",2003,"B484",8.6
"926",2003,"C320",11.05
"927",2003,"C370",10.4
"928",2003,"D320",11.2
"929",2003,"G320",11.3
"930",2003,"KSHZ06",10.95
"931",2003,"KTHA03",11
"932",2003,"N484",11.2
"933",2003,"VA12A",NA
"934",2003,"VA41A",NA
"935",2003,"VA42A",NA
"936",2003,"VA45A",NA
"937",2004,"0311",9.7
"938",2004,"0317",4.825
"939",2004,"0321",10.65
"940",2004,"0322",10.65
"941",2004,"0430",10.05
"942",2004,"0434",10.2
"943",2004,"0438",10.625
"944",2004,"0440",10.7
"945",2004,"0442",10.35
"946",2004,"0444",8.5
"947",2004,"0446",10
"948",2004,"0470",9.45
"949",2004,"0474",10.55
"950",2004,"0478",10.85
"951",2004,"0484",10.9
"952",2004,"0631",10.7
"953",2004,"A315",6.73333333333333
"954",2004,"A320",10.55
"955",2004,"A432",10.5
"956",2004,"A456",8.45
"957",2004,"A499",10.75
"958",2004,"A617",10.8
"959",2004,"A620",9.9
"960",2004,"A630",9.8
"961",2004,"A680",10
"962",2004,"A685",10.8
"963",2004,"A690",10.8
"964",2004,"B484",7.8
"965",2004,"C320",10
"966",2004,"C370",9.9
"967",2004,"D320",10.5
"968",2004,"G320",10.9
"969",2004,"KSHZ06",10.675
"970",2004,"KTHA03",10.9
"971",2004,"N484",11
"972",2004,"VA12A",NA
"973",2004,"VA41A",NA
"974",2004,"VA42A",NA
"975",2004,"VA45A",NA
"976",2005,"0311",9.65
"977",2005,"0317",3.9
"978",2005,"0321",10.775
"979",2005,"0322",11.15
"980",2005,"0430",9.9
"981",2005,"0434",9.75
"982",2005,"0438",10.075
"983",2005,"0440",10.55
"984",2005,"0442",10.55
"985",2005,"0444",8.85
"986",2005,"0446",9.95
