"","Year","Locator","NTU"
"835",2001,"0631",2.43
"836",2001,"A315",11.7775
"837",2001,"A320",1.9
"838",2001,"A432",4.23
"839",2001,"A456",4.735
"840",2001,"A499",2.885
"841",2001,"A617",0.915
"842",2001,"A620",1.8
"843",2001,"A630",5.205
"844",2001,"A680",2.89
"845",2001,"A685",1.6
"846",2001,"A690",1.965
"847",2001,"B484",3.3
"848",2001,"C320",0.93
"849",2001,"C370",3.8325
"850",2001,"D320",1.6
"851",2001,"G320",2.28
"852",2001,"KSHZ06",2.03
"853",2001,"KTHA03",1.25
"854",2001,"N484",2.15
"855",2001,"VA12A",NA
"856",2001,"VA41A",NA
"857",2001,"VA42A",NA
"858",2001,"VA45A",NA
"859",2002,"0311",2.575
"860",2002,"0317",13.4
"861",2002,"0321",1.65
"862",2002,"0322",3.84166666666667
"863",2002,"0430",4.08
"864",2002,"0434",6.555
"865",2002,"0438",1.525
"866",2002,"0440",3.54
"867",2002,"0442",4.81
"868",2002,"0444",3.525
"869",2002,"0446",3.795
"870",2002,"0470",3.665
"871",2002,"0474",4.48
"872",2002,"0478",4.29
"873",2002,"0484",5.315
"874",2002,"0631",2.815
"875",2002,"A315",11.075
"876",2002,"A320",1.625
"877",2002,"A432",5.405
"878",2002,"A456",4.91
"879",2002,"A499",2.93
"880",2002,"A617",1.65
"881",2002,"A620",2.49
"882",2002,"A630",6.015
"883",2002,"A680",2.045
"884",2002,"A685",1.375
"885",2002,"A690",1.2
"886",2002,"B484",3.25
"887",2002,"C320",1.0525
"888",2002,"C370",4.445
"889",2002,"D320",1.23
"890",2002,"G320",1.9
"891",2002,"KSHZ06",2.64
"892",2002,"KTHA03",1.7
"893",2002,"N484",1.87
"894",2002,"VA12A",NA
"895",2002,"VA41A",NA
"896",2002,"VA42A",NA
"897",2002,"VA45A",NA
"898",2003,"0311",3.535
"899",2003,"0317",15.3
"900",2003,"0321",2.18
"901",2003,"0322",1.9875
"902",2003,"0430",1.825
"903",2003,"0434",3.705
"904",2003,"0438",1.5
"905",2003,"0440",2.155
"906",2003,"0442",3.235
"907",2003,"0444",3.245
"908",2003,"0446",1.6
"909",2003,"0470",2.925
"910",2003,"0474",3.695
"911",2003,"0478",2.845
"912",2003,"0484",3.945
"913",2003,"0631",2.245
"914",2003,"A315",9.0425
"915",2003,"A320",1.475
"916",2003,"A432",4.615
"917",2003,"A456",4.09
"918",2003,"A499",4.18
"919",2003,"A617",1.25
"920",2003,"A620",1.5
"921",2003,"A630",3.565
"922",2003,"A680",2.74
"923",2003,"A685",1.375
"924",2003,"A690",1.4
"925",2003,"B484",3.34
"926",2003,"C320",0.87
"927",2003,"C370",3.55
"928",2003,"D320",1.3
"929",2003,"G320",2
"930",2003,"KSHZ06",1.55
"931",2003,"KTHA03",1.25
"932",2003,"N484",1.8
"933",2003,"VA12A",NA
"934",2003,"VA41A",NA
"935",2003,"VA42A",NA
"936",2003,"VA45A",NA
"937",2004,"0311",2.86
"938",2004,"0317",13.7
"939",2004,"0321",1.55
"940",2004,"0322",2.14
"941",2004,"0430",1.85
"942",2004,"0434",4.16
"943",2004,"0438",1.6125
"944",2004,"0440",2.425
"945",2004,"0442",3.6
"946",2004,"0444",2.405
"947",2004,"0446",1.85
"948",2004,"0470",2.27
"949",2004,"0474",3.0425
"950",2004,"0478",3.39916666666667
"951",2004,"0484",3.74
"952",2004,"0631",2.25
"953",2004,"A315",8.24
"954",2004,"A320",2.505
"955",2004,"A432",4.35
"956",2004,"A456",5.445
"957",2004,"A499",3.905
"958",2004,"A617",1.15
"959",2004,"A620",1
"960",2004,"A630",3.98
"961",2004,"A680",1.95
"962",2004,"A685",1.7
"963",2004,"A690",1.3
"964",2004,"B484",2.38
"965",2004,"C320",1.05
"966",2004,"C370",2.4
"967",2004,"D320",1.1
"968",2004,"G320",2.34
"969",2004,"KSHZ06",1.8
"970",2004,"KTHA03",2.43
"971",2004,"N484",1.9
"972",2004,"VA12A",NA
"973",2004,"VA41A",NA
"974",2004,"VA42A",NA
"975",2004,"VA45A",NA
"976",2005,"0311",2.635
"977",2005,"0317",12.35
"978",2005,"0321",1.825
"979",2005,"0322",1.85
"980",2005,"0430",2.99
"981",2005,"0434",5.57
"982",2005,"0438",1.6
"983",2005,"0440",1.45
"984",2005,"0442",2.84
"985",2005,"0444",2.06
