"","Year","Locator","pH"
"678",1997,"0484",7.3
"679",1997,"0631",7.42
"680",1997,"A315",7.1
"681",1997,"A320",7.525
"682",1997,"A432",7.7425
"683",1997,"A456",7.475
"684",1997,"A499",8
"685",1997,"A617",7.85
"686",1997,"A620",7.9
"687",1997,"A630",7.3175
"688",1997,"A680",7.45
"689",1997,"A685",7.525
"690",1997,"A690",7.5
"691",1997,"B484",6.9
"692",1997,"C320",7.5
"693",1997,"C370",7.96
"694",1997,"D320",7.4
"695",1997,"G320",7.3
"696",1997,"KSHZ06",7.8
"697",1997,"KTHA03",7.95
"698",1997,"N484",7.4
"699",1997,"VA12A",NA
"700",1997,"VA41A",NA
"701",1997,"VA42A",NA
"702",1997,"VA45A",NA
"703",1998,"0311",7.1
"704",1998,"0317",7
"705",1998,"0321",7.61666666666667
"706",1998,"0322",7.8
"707",1998,"0430",7.6
"708",1998,"0434",7.55
"709",1998,"0438",7.4
"710",1998,"0440",7.6
"711",1998,"0442",8
"712",1998,"0444",7.12666666666667
"713",1998,"0446",7.525
"714",1998,"0470",7.48333333333333
"715",1998,"0474",7.36
"716",1998,"0478",7.56666666666667
"717",1998,"0484",7.575
"718",1998,"0631",7.525
"719",1998,"A315",7.025
"720",1998,"A320",7.675
"721",1998,"A432",7.8
"722",1998,"A456",7.5
"723",1998,"A499",7.9
"724",1998,"A617",7.8
"725",1998,"A620",7.8
"726",1998,"A630",7.35
"727",1998,"A680",7.525
"728",1998,"A685",7.73333333333333
"729",1998,"A690",7.7
"730",1998,"B484",7.2
"731",1998,"C320",7.58
"732",1998,"C370",7.505
"733",1998,"D320",7.4
"734",1998,"G320",7.5
"735",1998,"KSHZ06",7.88333333333333
"736",1998,"KTHA03",8
"737",1998,"N484",7.55
"738",1998,"VA12A",NA
"739",1998,"VA41A",NA
"740",1998,"VA42A",NA
"741",1998,"VA45A",NA
"742",1999,"0311",6.95
"743",1999,"0317",6.8
"744",1999,"0321",7.4
"745",1999,"0322",7.6
"746",1999,"0430",7.5275
"747",1999,"0434",7.375
"748",1999,"0438",7.15
"749",1999,"0440",7.45
"750",1999,"0442",7.9
"751",1999,"0444",7.175
"752",1999,"0446",7.4
"753",1999,"0470",7.35
"754",1999,"0474",7.45
"755",1999,"0478",7.425
"756",1999,"0484",7.26
"757",1999,"0631",7.5
"758",1999,"A315",6.85
"759",1999,"A320",7.425
"760",1999,"A432",7.515
"761",1999,"A456",7.45
"762",1999,"A499",7.8075
"763",1999,"A617",7.7
"764",1999,"A620",7.7
"765",1999,"A630",7.2
"766",1999,"A680",7.45
"767",1999,"A685",7.6
"768",1999,"A690",7.475
"769",1999,"B484",7
"770",1999,"C320",7.35
"771",1999,"C370",7.94
"772",1999,"D320",7.3
"773",1999,"G320",7.1
"774",1999,"KSHZ06",7.7
"775",1999,"KTHA03",7.75
"776",1999,"N484",7.3
"777",1999,"VA12A",NA
"778",1999,"VA41A",NA
"779",1999,"VA42A",NA
"780",1999,"VA45A",NA
"781",2000,"0311",7.11
"782",2000,"0317",6.8275
"783",2000,"0321",7.37875
"784",2000,"0322",7.67
"785",2000,"0430",7.50333333333333
"786",2000,"0434",7.555
"787",2000,"0438",7.5
"788",2000,"0440",7.52666666666667
"789",2000,"0442",7.95
"790",2000,"0444",7.32
"791",2000,"0446",7.57
"792",2000,"0470",7.4
"793",2000,"0474",7.55
"794",2000,"0478",7.4925
"795",2000,"0484",7.43
"796",2000,"0631",7.475
"797",2000,"A315",6.865
"798",2000,"A320",7.45166666666667
"799",2000,"A432",7.66
"800",2000,"A456",7.35
"801",2000,"A499",7.83666666666667
"802",2000,"A617",7.68
"803",2000,"A620",7.83
"804",2000,"A630",7.25
"805",2000,"A680",7.455
"806",2000,"A685",7.765
"807",2000,"A690",7.71
"808",2000,"B484",7.055
"809",2000,"C320",7.395
"810",2000,"C370",7.955
"811",2000,"D320",7.33
"812",2000,"G320",7.38
"813",2000,"KSHZ06",7.59
"814",2000,"KTHA03",7.92
"815",2000,"N484",7.445
"816",2000,"VA12A",NA
"817",2000,"VA41A",NA
"818",2000,"VA42A",NA
"819",2000,"VA45A",NA
"820",2001,"0311",7.1
"821",2001,"0317",6.83
"822",2001,"0321",7.36166666666667
"823",2001,"0322",7.64361111111111
"824",2001,"0430",7.5
"825",2001,"0434",7.3
"826",2001,"0438",7.4275
"827",2001,"0440",7.53666666666667
"828",2001,"0442",7.965
"829",2001,"0444",7.295
"830",2001,"0446",7.375
"831",2001,"0470",7.29
"832",2001,"0474",7.5
"833",2001,"0478",7.45
"834",2001,"0484",7.43
